, ,Area,Mean,Min,Max,Skew,IC,KT,image,Perim.,BX,BY,Width,Height,IntDen,RawIntDen,location,Radius
251,55,0.09,108.88,81,150,0.364,1,0,6,1.416,27.66,31.147,0.301,0.541,9.842,2722.0,IC,0.169
252,56,0.119,147.364,120,195,0.664,0,0,6,1.501,27.359,32.23,0.541,0.421,17.583,4863.0,nonIC,0.195
253,57,0.09,150.76,130,187,0.437,1,0,6,1.381,32.771,36.198,0.541,0.301,13.627,3769.0,IC,0.169
254,58,0.04,130.818,101,175,0.44,1,0,6,0.666,34.034,38.543,0.241,0.18,5.203,1439.0,IC,0.113
255,59,0.119,141.818,123,163,0.279,1,0,6,1.707,31.328,39.806,0.421,0.421,16.921,4680.0,IC,0.195
256,60,0.09,109.76,79,160,0.723,0,0,6,1.331,35.837,36.379,0.361,0.361,9.921,2744.0,nonIC,0.169
257,61,0.029,132.5,117,156,0.386,0,0,6,0.595,36.198,36.8,0.241,0.18,3.833,1060.0,nonIC,0.096
258,62,0.054,108.933,82,156,0.472,0,0,6,0.836,35.417,35.958,0.301,0.241,5.908,1634.0,nonIC,0.131
259,63,0.09,119.44,90,171,0.524,0,0,6,1.141,15.814,25.435,0.421,0.361,10.796,2986.0,nonIC,0.169
260,64,0.022,167.0,146,185,-0.418,0,0,6,0.46,16.295,25.916,0.18,0.12,3.623,1002.0,nonIC,0.084
261,65,0.036,193.8,160,245,0.595,1,0,6,0.63,16.656,26.217,0.241,0.18,7.007,1938.0,IC,0.107
262,66,0.029,170.125,149,204,0.632,0,0,6,0.63,16.957,26.337,0.241,0.18,4.921,1361.0,nonIC,0.096
263,67,0.047,126.538,107,153,0.36,0,0,6,0.751,17.257,26.638,0.241,0.241,5.948,1645.0,nonIC,0.122
264,68,0.022,104.5,86,124,-0.038,0,0,6,0.46,17.558,26.998,0.18,0.12,2.267,627.0,nonIC,0.084
